Audit Id: 1 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 1 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 18 Aug, 01:12 PM 
Audit Id: 2 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_two | Date & Time: 18 Aug, 01:13 PM 
Audit Id: 3 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:13 PM 
Audit Id: 4 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 18 Aug, 01:14 PM 
Audit Id: 5 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: select_out_of_caught_behind | Date & Time: 18 Aug, 01:14 PM 
Audit Id: 6 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 5 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_strike_change_batsman_select | Date & Time: 18 Aug, 01:14 PM 
Audit Id: 7 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 5 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_strike_change_after_out | Date & Time: 18 Aug, 01:14 PM 
Audit Id: 8 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:15 PM 
Audit Id: 9 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 18 Aug, 01:15 PM 
Audit Id: 10 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 1 | Ball: 1 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_three | Date & Time: 18 Aug, 01:16 PM 
Audit Id: 11 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 1 | Ball: 1 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_undo | Date & Time: 18 Aug, 01:16 PM 
Audit Id: 12 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_undo | Date & Time: 18 Aug, 01:16 PM 
Audit Id: 13 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:16 PM 
Audit Id: 14 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 0 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 18 Aug, 01:16 PM 
Audit Id: 15 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 1 | Ball: 1 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 18 Aug, 01:17 PM 
