Audit Id: 1222 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 0 | Ball: 1 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 24 Jan, 11:13 PM 
Audit Id: 1223 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 0 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:13 PM 
Audit Id: 1224 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 0 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:13 PM 
Audit Id: 1225 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 0 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:14 PM 
Audit Id: 1226 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 0 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:14 PM 
Audit Id: 1227 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 0 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:14 PM 
Audit Id: 1228 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 0 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 24 Jan, 11:14 PM 
Audit Id: 1229 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 1 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:15 PM 
Audit Id: 1230 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:15 PM 
Audit Id: 1231 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:15 PM 
Audit Id: 1232 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 24 Jan, 11:15 PM 
Audit Id: 1233 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:15 PM 
Audit Id: 1234 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:15 PM 
Audit Id: 1235 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 24 Jan, 11:15 PM 
Audit Id: 1236 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:16 PM 
Audit Id: 1237 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 24 Jan, 11:16 PM 
Audit Id: 1238 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 24 Jan, 11:16 PM 
Audit Id: 1239 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:17 PM 
Audit Id: 1240 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 1 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:17 PM 
Audit Id: 1241 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 1 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 24 Jan, 11:17 PM 
Audit Id: 1242 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_leg_bye | Date & Time: 24 Jan, 11:17 PM 
Audit Id: 1243 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_wide_zero | Date & Time: 24 Jan, 11:18 PM 
Audit Id: 1244 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:18 PM 
Audit Id: 1245 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:18 PM 
Audit Id: 1246 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_four | Date & Time: 24 Jan, 11:18 PM 
Audit Id: 1247 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:18 PM 
Audit Id: 1248 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: select_out_of_run_out | Date & Time: 24 Jan, 11:19 PM 
